"gene_id"	"gene_short_name"	"CtlHIO_0"	"CtlHIO_1"	"CtlHIO_2"	"EcoliHIO_0"	"EcoliHIO_1"	"EcoliHIO_2"	"HIO_0"	"HIO_1"	"HIO_2"	"HuSI_Duo_A_0"	"HuSI_Duo_A_1"	"HuSI_Dist_A_0"	"HuSI_Dist_A_1"	"HuSI_Dist_A_2"	"HuSI_Dist_A_3"	"HuSI_F_0"	"HuSI_F_1"	"HuSI_F_2"	"HuSI_F_3"	"HuSI_F_4"	"HuSI_F_5"
"NOD1"	"NOD1"	1.53832	1.4988	1.55809	1.0066	1.0314	1.48466	0.966685	0.930521	2.47974	2.34511	2.2204	2.62018	3.83218	2.67251	2.94288	2.47382	2.46812	2.36018	3.39624	1.84479	2.56747
"NOD2"	"NOD2"	0.0709379	0.0582925	0.100318	0.071444	0.320282	0.0769901	0.0604221	0.0575083	0.277904	1.27571	1.3503	1.46418	0.591092	0.639408	0.905253	0.339173	1.16495	0.206049	0.375307	0.154127	0.308654
"NODAL"	"NODAL"	0.235916	0.147343	0.130407	0.0444045	0.187355	0.116762	0.0849849	0.0872163	0.23921	0.0903297	0.168148	0	0	0.139842	0.152872	0.181965	0.396331	0.302242	0.469935	0.13141	0.238334
"NOG"	"NOG"	0.513392	0.377842	0.254444	1.59712	0.649882	0.716009	2.88043	2.28518	2.81947	0	0.187965	0	0.344666	0.46866	0.0852599	1.04837	1.31473	0.842363	1.10293	1.36731	1.1366
"NOL10"	"NOL10"	6.71986	8.25788	8.27915	5.32255	6.66328	5.76853	6.60584	6.57878	5.8487	6.15637	9.54094	6.11985	7.8113	8.24916	8.89198	5.92494	7.13507	8.02425	7.34454	7.0527	8.06134
"NOL11"	"NOL11"	17.674	20.2609	19.1019	9.60419	9.76817	9.29425	15.0562	16.8514	12.5051	14.2043	15.9742	12.0546	16.7272	18.6633	16.6761	18.9509	21.826	25.4235	20.7635	20.3925	27.6143
"NOL12"	"NOL12"	3.57889	4.48121	4.63181	3.4611	2.40766	2.5286	4.96617	4.77377	3.95233	9.85244	7.69316	7.09762	6.18137	8.14736	6.70478	3.48685	4.23861	4.01467	5.17527	3.81634	4.04704
"NOL3"	"NOL3"	6.26081	4.95924	10.6737	8.1228	12.3709	13.2856	6.78586	7.8927	15.8429	7.45611	4.77462	5.31687	7.46382	6.27529	5.10744	1.1098	1.6856	0.600724	2.26089	0.8221	1.173
"NOL4"	"NOL4"	0.0635076	0.0679258	0.128833	0.0451737	0.0227236	0.0849882	0	0.00957455	0.0225093	0.0504205	0.21982	0.050821	0.0404098	0.183173	0.100565	4.50483	3.52821	2.933	3.2625	1.52576	3.76143
"NOL6"	"NOL6"	11.0879	13.1692	10.7026	9.86688	9.51353	6.90855	9.6036	10.0263	7.11011	8.55536	8.5447	7.64772	6.60198	6.33337	6.84434	8.23417	7.66134	8.17253	8.01436	6.53338	8.81858
"NOL7"	"NOL7"	52.8913	66.3611	71.9053	66.5714	78.5507	64.5732	57.9212	64.2023	53.7196	45.7588	59.3599	46.4696	51.3416	64.0365	54.4982	38.0114	41.8049	40.8575	40.7532	46.1609	47.6441
"NOL8"	"NOL8"	5.29022	5.8207	6.25101	2.75651	2.75194	2.44541	4.61609	5.26035	5.10783	7.2624	8.43239	6.91623	8.36801	8.49003	8.65209	9.18023	9.73079	12.6445	9.3516	10.6034	13.5546
"NOL9"	"NOL9"	2.84241	2.97382	2.71024	2.08982	2.5763	2.29021	4.33261	3.9762	3.61653	2.85239	1.91403	1.8903	2.30935	1.91791	2.24825	5.42014	5.446	6.17882	6.24077	4.99707	6.36002
"NOLC1"	"NOLC1"	33.7791	36.6735	36.1094	25.3889	24.3429	16.8881	23.0761	25.1267	20.6954	16.6869	21.1717	16.6486	20.0552	17.6574	19.6966	21.7106	22.9942	28.6742	22.3919	25.6899	30.6278
