"","gene_short_name","ES_0","ES_2","ES_1","DefEnd_2","DefEnd_0","DefEnd_1","Lung_A_0","Lung_A_4","Lung_A_3","Lung_A_1","Lung_A_2","HLO_2","HLO_3","HLO_4","HLO_0","HLO_5","HLO_1","Lung_F_5","Lung_F_2","Lung_F_4","Lung_F_1","Lung_F_0","Lung_F_3","anova.p","anova.p.adj","Mean.DefEnd","Mean.ES","log2.DefEnd.ovr.ES","ttest.DefEnd.v.ES.p","ttest.DefEnd.v.ES.p.adj","Mean.Lung_A","Mean.Lung_F","log2.Lung_A.ovr.Lung_F","ttest.Lung_A.v.Lung_F.p","ttest.Lung_A.v.Lung_F.p.adj"
"LOC100506801","LOC100506801",6.44797,4.74572,7.10128,17.0308,6.61987,1.53735,2.39813,0,9.31734,13.9953,0,8.6823,15.8488,12.9733,3.7301,1.9993,13.3834,6.86027,9.48158,5.37094,10.3043,7.36105,11.6913,0.659302409880056,1,8.39600666666667,6.09832333333333,0.461290668050115,0.644606031740303,0.928991045743378,5.142154,8.51157333333333,-0.727053016058351,0.250129612529227,0.351379607750675
"LOC148413","LOC148413",218.156,221.151,181.083,220.184,143.431,115.301,291.373,284.62,358.718,300.899,367.875,346.624,286.112,375.228,375.807,341.88,326.777,190.127,195.517,253.674,207.508,220.014,200.365,1,1,159.638666666667,206.796666666667,-0.37340279685204,0.236445540603742,0.445608903445513,320.697,211.200833333333,0.602595330835208,0.000279305144268454,0.00119008278862211
"LOC254099","LOC254099",1.07466,0,0,0,0,0,2.39813,0,0,4.19859,0,0,0.834147,0.997947,0,0,3.90348,9.80038,9.15463,3.30519,12.0809,15.54,20.9637,1,1,0,0.35822,-Inf,0.373900966300059,0.600693355695177,1.319344,11.8074666666667,-3.16180678189924,0.00482444113208536,0.0124419797616938
"LOC284632","LOC284632",1.07466,0,1.18355,0,2.20662,1.53735,0,0,0,0,0,0,0,0,0.932524,0,1.11528,15.6806,11.7702,7.84983,11.7256,8.5879,12.9007,1,1,1.24799,0.752736666666667,0.729389220474217,0.547432405904519,0.812854178464286,0,11.4191383333333,-Inf,1.02547918450646e-05,0.000111663288979592
"LOC284661","LOC284661",0,0,0,0,0,0,0,0,0,0,0,0.667869,0,0,0,0,0,0.490019,0,0,0,0,0,0.685591470208399,1,0,0,NA,NA,NA,0,0.0816698333333333,-Inf,0.389283142476212,0.498689515851879
"LOC388588","LOC388588",0,1.89829,1.18355,0,0,0,11.9907,7.69244,13.976,6.99765,22.9922,16.6967,14.1805,15.9671,9.32524,4.99824,14.4986,6.37025,13.405,13.6339,20.964,23.31,17.3354,0.000629932255868161,0.123466722150159,0,1.02728,-Inf,0.137055055711852,0.294167144111069,12.729798,15.836425,-0.31503716408032,0.432198481485633,0.546521950781832
"LOC643837","LOC643837",107.466,123.389,93.5002,120.432,101.505,113.764,140.291,207.696,116.467,163.745,117.835,241.101,206.868,213.561,228.468,207.927,235.324,204.828,188.651,168.978,171.976,172.576,203.187,1,1,111.900333333333,108.1184,0.0496022665911463,0.731104957925402,0.995115081620687,149.2068,185.032666666667,-0.310466707452599,0.0642195390747208,0.113260052385894
"LOC728716","LOC728716",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA
"LYPLA2","LYPLA2",637.275,616.944,550.349,873.436,306.721,324.38,721.838,930.785,1034.22,835.519,965.672,739.331,692.342,937.072,880.303,835.706,786.272,348.404,343.299,435.872,450.903,428.986,424.112,1,1,501.512333333333,601.522666666667,-0.26233392183619,0.622696566609286,0.917658098161053,897.6068,405.262666666667,1.1472263268842,7.07255275546532e-06,0.000100047726342876
"MAN1C1","MAN1C1",193.439,185.083,181.083,102.185,83.8517,59.9565,472.432,823.091,521.771,534.62,615.041,370.667,545.532,1145.64,980.083,1394.51,629.018,259.71,296.218,325.148,301.312,370.915,384.2,1,1,81.9977333333333,186.535,-1.18579041722003,0.00120777202376226,0.0112725388884477,593.391,322.917166666667,0.877818907132596,0.00143579394754319,0.00453896151158813
"MDS2","MDS2",2.14932,0.949144,3.55064,4.86594,4.41325,0,5.99533,7.69244,0,2.79906,11.4961,10.018,7.50732,6.98563,3.7301,5.99789,10.5952,7.35029,10.4624,6.61039,9.23835,11.4505,10.885,0.0112672602252095,1,3.09306333333333,2.216368,0.480838931623095,0.637946786555575,0.928991045743378,5.596586,9.33282166666667,-0.737766298329992,0.0943563809089486,0.152841740976479
"MFN2","MFN2",1823.7,1878.36,1817.93,1846.62,1482.85,1566.56,2607.97,3630.83,2809.18,2887.23,3170.05,2386.3,1980.26,2265.34,2533.67,2416.15,2181.49,1518.08,1581.14,1740.18,1580.82,1641.11,1620.25,1,1,1632.01,1839.99666666667,-0.17305325537648,0.135990726419042,0.294167144111069,3021.052,1613.59666666667,0.904771007957825,1.2222253951993e-05,0.000115572436654566
"MIB2","MIB2",11.8213,18.0337,15.3861,55.9583,17.653,13.8361,323.748,392.314,768.68,447.849,333.387,954.385,890.034,1128.68,1041.63,1004.65,1049.48,500.8,457.732,460.661,760.743,902.547,547.072,1,1,29.1491333333333,15.0803666666667,0.950781482653097,0.358399754291523,0.600693355695177,453.1956,604.925833333333,-0.416624417893911,0.205819866534323,0.296622748828878
"MIIP","MIIP",112.84,134.778,99.4179,232.349,59.5788,72.2553,293.771,323.082,503.136,286.904,439.726,446.804,370.361,476.021,462.532,409.856,462.284,171.997,147.128,194.18,193.65,262.544,218.91,1,1,121.394366666667,115.678633333333,0.0695790615406874,0.924348717074825,1,369.3238,198.068166666667,0.898889205592505,0.00319659630340752,0.00963896731489037
"MIR200A","MIR200A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326951,0.413149,0,0,0.403148,0.0354699052212559,1,0,0,NA,NA,NA,0,0.190541333333333,-Inf,0.0762728174925687,0.128613000572076
"MIR200B","MIR200B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.980038,0,0,0,0.817895,0.403148,0.0617868111092748,1,0,0,NA,NA,NA,0,0.366846833333333,-Inf,0.10021854906929,0.158409964657909
